Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-NWNVWC0-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-55.37,6.37,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
10 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-8COVB9Z-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
10 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-TXPLD4B-210210,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125458131468352,125458132368352,Delivered,Rider,standard,Dropshipping,125458132368352,,
10 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-A996XHK-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,-11.51,1.32,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
10 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-QLFA15J-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,49.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
10 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-LDYP171-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,79.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
10 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-8DQKZCA-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,-55.37,6.37,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
10 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-W2NEVVK-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,-1.12,0.13,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
10 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-OOKB5EF-210210,"M2S2 5 Layers Multipurpose Multi Layer Hanger for Shirts, Wardrobe, Ties, Pants Space Saving, Cupboard Organizer",multilayer_regular,193096315_PK-1401202633,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125459350071790,125459350171790,Delivered,PK-MOVEX,standard,Dropshipping,125459350171790,,
09 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-SPUHAX8-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124931661551101,124931662251101,Delivered,PK-DEX,standard,Dropshipping,124931662251101,,
09 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-OWBIG5Q-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,49.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124931661551101,124931662251101,Delivered,PK-DEX,standard,Dropshipping,124931662251101,,
